"model" "accuracy"
"1" "RF" 0.896981014628073
"2" "SVM" 0.904174015285126
"3" "CART" 0.941660614863229
"4" "CTree" 0.86917730054985
"5" "GLM" 0.901269149635163
"6" "NB" 0.926098834595567
